lugar_objetivo,majortom:code_10km,lat,lon,dist_deg
amazonas,0010km_0039D_0692L,-3.4576998,-62.219463,0.041092806
amazonas,0010km_0038D_0692L,-3.3676002,-62.219536,0.049181424
amazonas,0010km_0039D_0691L,-3.4576216,-62.129803,0.096052
amazonas,0010km_0038D_0691L,-3.367524,-62.129883,0.09977857
amazonas,0010km_0039D_0693L,-3.4572272,-62.309666,0.10141402
amazonas,0010km_0038D_0693L,-3.3676686,-62.30973,0.10515922
amazonas,0010km_0040D_0692L,-3.5472696,-62.235054,0.13185318
amazonas,0010km_0037D_0692L,-3.2780433,-62.219604,0.138687
amazonas,0010km_0040D_0691L,-3.547191,-62.145382,0.14870907
amazonas,0010km_0037D_0691L,-3.2779691,-62.12996,0.16361684
arrecife,0010km_0204D_1561R,-18.27764,147.73682,0.038784422
arrecife,0010km_0204D_1560R,-18.27798,147.64203,0.057897333
arrecife,0010km_0205D_1560R,-18.367722,147.71959,0.08315913
arrecife,0010km_0203D_1561R,-18.187904,147.65929,0.10692572
arrecife,0010km_0205D_1559R,-18.367512,147.62532,0.10920064
arrecife,0010km_0203D_1562R,-18.1881,147.75346,0.11289368
arrecife,0010km_0204D_1562R,-18.277796,147.83104,0.13216384
arrecife,0010km_0205D_1561R,-18.36734,147.81444,0.14041887
arrecife,0010km_0204D_1559R,-18.277733,147.54779,0.15170242
arrecife,0010km_0203D_1560R,-18.188206,147.56453,0.16708426
desierto_atacama,0010km_0273D_0702L,-24.475727,-69.246315,0.024551045
desierto_atacama,0010km_0274D_0701L,-24.565203,-69.20442,0.07955343
desierto_atacama,0010km_0274D_0702L,-24.565578,-69.303375,0.08455443
desierto_atacama,0010km_0273D_0703L,-24.475534,-69.344604,0.0977168
desierto_atacama,0010km_0273D_0701L,-24.475313,-69.14743,0.10549861
desierto_atacama,0010km_0272D_0702L,-24.385828,-69.208275,0.12155752
desierto_atacama,0010km_0272D_0703L,-24.38566,-69.30708,0.12779702
desierto_atacama,0010km_0275D_0701L,-24.655067,-69.26149,0.15549254
desierto_atacama,0010km_0274D_0700L,-24.565304,-69.10547,0.1585997
desierto_atacama,0010km_0274D_0703L,-24.565348,-69.401726,0.16519995
dunas_arabia,0010km_0222U_0523R,19.985687,50.01528,0.020937629
dunas_arabia,0010km_0222U_0522R,19.985672,49.919514,0.08175167
dunas_arabia,0010km_0223U_0523R,20.075827,50.041687,0.08653027
dunas_arabia,0010km_0223U_0522R,20.075827,49.946438,0.092836335
dunas_arabia,0010km_0221U_0523R,19.896086,49.9889,0.10450551
dunas_arabia,0010km_0222U_0524R,19.985651,50.11105,0.111972846
dunas_arabia,0010km_0221U_0524R,19.89606,50.084614,0.13402545
dunas_arabia,0010km_0221U_0522R,19.896057,49.893185,0.1490424
dunas_arabia,0010km_0223U_0524R,20.075779,50.137512,0.15700974
dunas_arabia,0010km_0224U_0522R,20.16551,49.986027,0.16609898
glaciar,0010km_0563D_0517L,-50.522392,-73.03456,0.042032324
glaciar,0010km_0562D_0518L,-50.43277,-73.03236,0.053522307
glaciar,0010km_0564D_0516L,-50.61255,-73.03674,0.12992796
glaciar,0010km_0563D_0518L,-50.522533,-73.17592,0.13188647
glaciar,0010km_0562D_0519L,-50.432915,-73.173454,0.13333718
glaciar,0010km_0561D_0519L,-50.34261,-73.03018,0.14207925
